numero_cta,nivel,tipo_cta,nombre
41010012,4,4,VENTAS SACOS VACIOS
41010013,4,4,VENTAS GANADO
41010014,4,4,VENTAS MERCADERIA
41010015,4,4,VENTAS FERTILIZANTES
41010016,4,4,VENTAS DE COMBUSTIBLES
41030000,3,4,VENTAS CAFE
41030001,4,4,VENTAS CAFE LOCAL
41030002,4,4,VENTAS CAFE EXPORTACION
41030003,4,4,CONVERSION CAMBIARIA EXPORTACION
41040000,3,4,VENTAS DIVISION AGROPECUARIA
41040001,4,4,VENTAS DE GANADO
41040005,4,4,VENTAS DE FRUTOS MENORES
41040006,4,4,VENTAS PRODUCTOS DE APICULTURA
41040007,4,4,VENTAS POSTES, LEÑA, CARBON Y OTROS
41040012,4,4,VENTAS SACOS VACIOS
41040013,4,4,VENTAS MERCADERIAS
42000000,2,4,Devoluciones en Ventas
42010000,3,4,DEVOLUCIONES
42010001,4,4,DEV. FARMACEUTICOS
42010002,4,4,DEV. CODETEL
42010003,4,4,DEV. COSMETICOS
42010004,4,4,DEV. ARROZ
42010005,4,4,DEV. AFRECHO
42010007,4,4,DEV.ACEITE OLIVA MAEVA
42010011,4,4,DEV. CAFE CONSUMO LOCAL
42010012,4,4,DEV. SACOS VACIOS
42030000,3,4,DEV. CAFE
42030001,4,4,DEVOLUCION CAFE
42040000,3,4,DEV. GANADO
42040001,4,4,DEV.GANADO
43000000,2,4,Descuentos en Ventas
43010000,3,4,DESCUENTOS POR PRONTO PAGO
43010001,4,4,DESC.POR PRONTO PAGO FARMA_COSM.
43010002,4,4,DESC.POR PRONTO PAGO MERCADERIA
43010006,4,4,DESC.POR PRONTO PAGO CAFE
43030000,3,4,DESC./VENTAS CAFE
43030001,4,4,DESC./VENTAS CAFE LOCAL
43990000,3,4,DESC. EN COBROS
43990003,4,4,DESC. EN COBROS CAFE
44000000,2,4,Otros Ingresos
44010000,3,4,OTROS INGRESOS
44010001,4,4,INTERESES COBRADOS A CLIENTES
44010002,4,4,OTROS INGRESOS LAVADERO
44010003,4,4,INTS./CERTIFICADO FINANCIERO
44010004,4,4,RECLAMACION DE SEGUROS
44010005,4,4,GANANCIA EN RETIRO ACTIVO FIJO
44010006,4,4,RECUPERACION CTAS. INCOBRABLES
44010007,4,4,ING.EXTRAORDINARIO VTA.INMUEBL
44010008,4,4,ALQUILER
44010009,4,4,INTS./PRESTAMOS A EMPLEADOS
44010010,4,4,INGRESOS POR INTERESES
44010011,4,4,FLETES Y ACARREOS
44010012,4,4,INGRESOS POR DIVIDENDOS
44010014,4,4,COMPENSACION DECRETO 1045-01
44010099,4,4,INGRESOS VARIOS
50000000,1,5,Costos
51000000,2,5,Costos
51010000,3,5,COSTO PRIMO
51010001,4,5,MATERIA PRIMA
51010002,4,5,MATERIA DE EMPAQUE
51010003,4,5,MANO DE OBRA DIRECTA
51010004,4,5,VITAMINA PARA ARROZ
51010005,4,5,MANO DE OBRA DIRECTA FACT.BRLV
51010006,4,5,M.O.D. FACT.BANDIN
51010007,4,5,REPARACION DE SACOS
51010008,4,5,SERVICIO SEC. ARROZ BRLV
